Frequency,Spanish,English
418,supuesto,supposed
419,tomar,drink
420,equipo,equipment
421,justo,just
422,juego,play
423,ninguna,none
424,matar,to kill
425,cinco,five
426,dicen,They say
427,amo,love
428,cuándo,when
429,pequeño,little
430,algunos,Some
431,conozco,know
432,clase,class
433,maldito,damned
434,unas,nail
435,muchos,Many
436,hubiera,had
437,segundo,second
438,aunque,though
439,pueda,I can
440,dime,tell me
441,igual,Same
442,comida,food
443,ay,Oh
444,cuerpo,Body
445,encontrar,find
446,fuerte,strong
447,vuelta,lap
448,venga,come on
449,creer,believe
450,realidad,reality
451,saben,They know
452,puta,bitch
453,deberías,you should
454,pregunta,Question
455,fui,I was
456,cuatro,four
457,sra,Mrs
458,primer,first
459,trabajar,to work
460,e,and
461,hagas,you do
462,alto,tall
463,maldita,damn
464,comer,to eat
465,número,number
466,dar,to give
467,necesitas,you need
468,oportunidad,chance
469,punto,point
470,misma,same
471,última,last
472,afuera,outside
473,mujeres,women
474,pensar,to think
475,fueron,were
476,difícil,hard
477,vivir,to live
478,paso,step
479,malo,bad
480,estabas,You were
481,vivo,live
482,haga,make
483,queda,remains
484,hijos,sons
485,mayor,elderly
486,fiesta,party
487,hacen,make
488,medio,medium
489,algunas,some
490,basta,Enough
491,arma,weapon
492,vino,came
493,meses,months
494,cuarto,fourth
495,éste,East
496,escuela,school
497,esté,East
498,dólares,Dollars
499,tío,uncle
500,posible,possible
501,tuve,I had
502,fácil,easy
503,preocupes,worry
504,luz,light
505,eran,were
506,carajo,fuck
507,final,final
508,lista,ready
509,trata,about
510,armas,weapons
511,hermana,sister
512,exactamente,exactly
513,chicas,girls
514,podía,could
515,bastante,Quite
516,seguridad,security
517,pasando,going
518,esperando,hoping for
519,acá,here
520,teléfono,telephone
521,perro,dog
522,fuego,fire
523,murió,he died
524,tampoco,either
525,sola,alone
526,estuvo,he was
527,verte,to see you
528,iré,I will go
529,tenido,Dyed
530,culpa,fault
531,veras,you'll see
532,adónde,where to
533,buscando,searching
534,cuanto,how much
535,padres,fathers
536,paz,peace
537,demonios,demons
538,estará,will be
539,cual,which
540,perdón,sorry
541,asi,So
542,jugar,play
543,pensando,thinking
544,esperar,expect
545,sabemos,we know
546,recuerdo,memory
547,par,pair
548,joven,young man
549,seguir,continue
550,pueblo,village
551,tenga,have
552,caballeros,gentlemen
553,idiota,moron
554,dio,it gave
555,minuto,minute
556,bebé,baby
557,única,only
558,lejos,far
559,nuestras,ours
560,plan,plan
561,pienso,I think
562,sentido,sense
563,dormir,sleep
564,digas,you say
565,palabra,word
566,correcto,Right
567,control,control
568,vemos,we see
569,entiendes,You understand
570,país,country
571,seis,six
572,último,latest
573,ésta,is
574,diga,Say
575,podrías,could you
576,pequeña,small
577,cállate,shut
578,trato,deal
579,rey,king
580,sucede,happens
581,muchachos,boys
582,jamás,Never
583,cama,bed
584,srta,Ms
585,ayudar,help
586,acerca,about
587,di,gave
588,cambio,change
589,falta,lack
590,hospital,hospital
591,lleva,carries
592,presidente,President
593,mil,one thousand
594,gusto,taste
595,conoces,you know
596,diciendo,saying
597,os,you
598,ido,gone
599,general,general
600,extraño,weird
601,semanas,weeks
602,coche,car
603,peor,worse
604,mucha,a lot
605,disculpe,excuse me
606,diré,I'll say
607,anoche,last night
608,perder,lose
609,vámonos,Let's go
610,nave,ship
611,cielo,darling
612,habrá,there will be
613,orden,order
614,segura,safe
615,querida,Dear
616,niña,little girl
617,increíble,incredible
618,además,what's more
619,deben,They must
620,libro,book
621,calle,street
622,café,coffee
623,piensas,You think
624,hacemos,we make
625,especial,special
626,queremos,we want
627,irme,Go
628,perfecto,perfect
629,buscar,Search
630,odio,hatred
631,piensa,think
632,oficina,office
633,hablas,speak
634,libre,free
635,agente,agent
636,york,York
637,llamar,to call
638,mala,bad
639,detrás,behind
640,viste,dresses
641,dile,tell him
642,grandes,large
643,recuerdas,remember
644,real,real
645,estaban,They were
646,mía,mine
647,frente,front
648,perdido,lost
649,llamo,called
650,muertos,dead
651,millones,millions
652,asesino,assassin
653,sueño,sleep
654,quisiera,I would like
655,habría,there would be
656,hará,will do
657,viaje,trip
658,probablemente,probably
659,resto,rest
660,estaré,I will be
661,maldición,damn
662,lamento,lament
663,muchacho,young guy
664,avión,airplane
665,ropa,clothing
666,fuerza,strength
667,llamado,called
668,oído,ear
669,dado,given
670,encima,over
671,negro,black
672,usar,use
673,información,information
674,uds,You
675,preguntas,questions
676,tuvo,He had
677,secreto,secret
678,vuelve,Come back
679,miren,Look
680,quieras,You want
681,haría,would do
682,acaba,just
683,otras,others
684,incluso,even
685,sientes,you feel
686,deberíamos,we should
687,haz,make
688,decirte,tell you
689,boca,mouth
690,dolor,pain
691,baño,bath
692,adentro,indoors
693,profesor,professor
694,habitación,room
695,daño,damage
696,tuyo,yours
697,seas,You are
698,noticias,news
699,demás,the rest
700,querido,Dear
701,duro,Lasted
702,poner,put
703,prueba,Test
704,mire,Look
705,tonto,fool
706,campo,countryside
707,siendo,being
708,diez,ten
709,ése,that
710,tranquilo,calm
711,asunto,affair
712,acabó,just
713,quédate,stay
714,derecho,law
715,placer,pleasure
716,recuerda,remember
717,estuve,was
718,tratando,trying
719,ejército,army
720,futuro,future
721,llevar,wear
722,compañía,company
723,venido,I come
724,listos,Ready
725,haremos,will
726,sitio,place
727,verlo,see him
728,puesto,Market Stall
729,atención,attention
730,sino,otherwise
731,cambiar,change
732,error,mistake
733,blanco,white
734,raro,rare
735,palabras,words
736,llegó,I arrive
737,sal,Salt
738,pase,happens
739,mente,mind
740,sistema,system
741,película,movie
742,anda,walk
743,ello,it
744,negocio,business
745,novia,girlfriend
746,permiso,permission
747,creí,I believed
748,suena,sounds
749,ocurre,occurs
750,oficial,official
751,espere,Wait
752,aire,air
753,mató,killed
754,regresar,to return
755,vio,he saw
756,hazlo,do it
757,trasero,rear
758,grupo,cluster
759,entendido,it is understood
760,señorita,Miss
761,música,music
762,perra,bitch
763,conoce,known
764,empezar,start
765,siente,Feel
766,acabo,finished
767,estúpido,idiot
768,diferente,different
769,traje,costume
770,modo,mode
771,encontré,I found
772,mensaje,message
773,llamada,call
774,navidad,Christmas
775,eras,ages
776,pena,grief
777,largo,length
778,entra,enters
779,piso,flat
780,foto,Photo
781,dijeron,They said
782,médico,medical
783,accidente,accident
784,fuiste,you were
785,imposible,impossible
786,podríamos,we could
787,línea,line
788,propia,own
789,barco,boat
790,ganar,gain
791,normal,normal
792,segundos,seconds
793,vive,it lives
794,mitad,half
795,quiera,want
796,tras,after
797,decirle,Tell him
798,lindo,pretty
799,funciona,works
800,programa,Program
801,vine,came
802,abre,opens
803,sean,Sean
804,pagar,to pay
805,fotos,Photos
806,centro,center
807,supone,It supposes
808,basura,trash
809,situación,situation
810,mejores,top
811,vienen,they come
812,encanta,loves
813,marido,husband
814,personal,staff
815,maestro,teacher
816,hambre,hunger
817,ataque,attack
818,culo,ass
819,dale,Go ahead
820,pie,foot
821,conseguir,get
822,trabajando,working
823,gracioso,funny
824,dejó,let
825,pudo,could
826,derecha,right
827,izquierda,left
828,próxima,next
829,pobre,poor
830,respuesta,response
831,tipos,types
832,sentir,feel
833,tenías,You had
834,pude,I could
835,darle,give him
836,voz,voice
837,amiga,friend
838,gustan,like
839,vista,view
840,salvo,except
841,loca,crazy
842,hotel,hotel
843,hicieron,they made
844,ten,Ten
845,temo,I fear
846,señal,sign
847,pelo,hair
848,llevo,wear
849,ayer,Yesterday
850,das,you give
851,nena,chick
852,servicio,service
853,tren,train
854,bonito,nice
855,mes,month
856,tendrá,will have
857,tendrás,you will have
858,edad,age
859,ellas,they
860,hermosa,beautifull
861,honor,honor
862,simplemente,simply
863,llamas,calls
864,tengas,Have
865,corre,runs
866,baja,short
867,sol,sun
868,siéntate,Sit down
869,dan,give
870,humano,human
871,divertido,funny
872,sexo,sex
873,vuelto,turned
874,peligro,danger
875,mesa,table
876,siguiente,Next
877,hablo,talked
878,disculpa,Sorry
879,decirme,Tell me
880,caja,cash register
881,negocios,business
882,misión,mission
883,silencio,silence
884,sale,comes out
885,llegado,arrived
886,estaría,It would
887,regreso,Return
888,media,half
889,estan,are
890,propio,own self
891,oro,Prayed
892,enseguida,right away
893,linda,pretty
894,prometo,I promise
895,esposo,husband
896,norte,north
897,hubo,there was
898,juro,I swear
899,muerta,dead
900,interesante,interesting
901,pensaba,thought
902,busca,search
903,terminar,end up
904,tendré,I will have
905,completamente,completely
906,cita,date
907,siete,seven
908,cumpleaños,birthday
909,abogado,attorney
910,alrededor,around
911,cerebro,brain
912,porqué,because
913,llave,wrench
914,santo,holy
915,hermoso,handsome
916,necesario,necessary
917,edificio,building
918,irnos,Go
919,aun,still
920,tendremos,we will have
921,vayas,go
922,doy,give
923,trae,Bring
924,salió,he left
925,ley,law
926,ahi,over there
927,verdadero,real
928,pelea,Fight
929,banco,bank
930,terrible,terrible
931,calma,Calm down
932,cena,Dinner
933,daré,I will give
934,gobierno,government
935,comprar,to buy
936,creen,They believe
937,sargento,sergeant
938,destino,destiny
939,existe,exists
940,hacía,towards
941,novio,boyfriend
942,sala,living room
943,través,through
944,regalo,gift
945,iglesia,church
946,decía,He said
947,cualquiera,any
948,excelente,Excellent
949,esperen,Wait
950,deseo,desire
951,alma,soul
952,diablo,Devil
953,deje,leave
954,cuántos,many
955,espada,sword
956,estábamos,We were
957,carne,meat
958,maravilloso,wonderful
959,vidas,lives
960,sucedió,happened
961,oí,I heard
962,peligroso,dangerous
963,dirección,address
964,libertad,freedom
965,jesús,Jesus
966,ocurrió,It occurred
967,veré,I will see
968,sueños,dreams
969,pudiera,could
970,detective,detective
971,sorpresa,surprise
972,tuya,yours
973,pies,feet
974,club,club
975,terminado,finished
976,infierno,hell
977,creía,I believed
978,luna,Moon
979,salvar,save
980,carta,letter
981,estés,be
982,cielos,Heavens
983,teniente,lieutenant
984,encuentra,find
985,veamos,let's see
986,quise,I wanted
987,escúchame,listen to me
988,necesitan,They need
989,ambos,both of them
990,decisión,decision
991,enemigo,enemy
992,hicimos,we did
993,dulce,sweet
994,pruebas,tests
995,querías,You wanted
996,abuelo,grandfather
997,totalmente,totally
998,mirando,looking at
999,vayan,go
1000,carrera,race
